"Datum";"Check-in";"Vertrek";"Check-uit";"Bestemming";"Bedrag";"Transactie";"Klasse";"Product";"Opmerkingen"
"04-08-2015";"07:33";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"04-08-2015";"";"Haag Centraal(Den)";"08:18";"Schiphol";"8,20";"Check-uit";"";"Dal Voordeel (2e klas)";""
"04-08-2015";"09:01";"Schiphol";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"04-08-2015";"";"Schiphol";"09:47";"Haag Centraal(Den)";"4,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"04-08-2015";"18:29";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"04-08-2015";"";"Haag Centraal(Den)";"19:32";"Amsterdam Bijlmer ArenA";"6,50";"Check-uit";"";"Dal Voordeel (2e klas)";""
"04-08-2015";"22:25";"Amsterdam Bijlmer ArenA";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"04-08-2015";"";"Amsterdam Bijlmer ArenA";"23:48";"Haag Centraal(Den)";"6,50";"Check-uit";"";"Dal Voordeel (2e klas)";""
"10-08-2015";"17:18";"Haag Centraal(Den)";"";"";"";"Check-in";"";"Dal Voordeel (2e klas)";""
"10-08-2015";"";"Haag Centraal(Den)";"18:07";"Utrecht Centraal";"10,70";"Check-uit";"";"Dal Voordeel (2e klas)";""
"10-08-2015";"";"Utrecht, CS Centrumzijde";"18:42";"Utrecht, AZU";"1,70";"Check-uit";"";"";""
"10-08-2015";"";"Utrecht, AZU";"20:21";"Utrecht, CS Centrumzijde";"1,69";"Check-uit";"";"";""
"10-08-2015";"";"Utrecht Centraal";"21:07";"Haag Centraal(Den)";"6,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
"12-08-2015";"";"Haag Centraal(Den)";"17:05";"Amsterdam Zuid";"9,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"13-08-2015";"";"Amsterdam Zuid";"19:34";"Utrecht Centraal";"4,00";"Check-uit";"";"Samenreiskorting (2e klas)";""
"14-08-2015";"";"Utrecht Centraal";"00:07";"Amsterdam Zuid";"4,00";"Check-uit";"";"Dal Voordeel (2e klas)";""
"14-08-2015";"";"Amsterdam Zuid";"07:21";"Schiphol";"2,70";"Check-uit";"";"Dal Voordeel (2e klas)";""
"19-08-2015";"";"Haag Centraal(Den)";"21:03";"Amsterdam Amstel";"6,50";"Check-uit";"";"Dal Voordeel (2e klas)";""
"19-08-2015";"";"Amstelstation";"21:10";"Wibautstraat";"1,02";"Check-uit";"";"";""
"19-08-2015";"";"Weesperplein";"23:29";"Leidseplein";"1,16";"Check-uit";"";"";""
"19-08-2015";"";"Leidseplein";"23:43";"Corn. Schuytstraat";"0,24";"Check-uit";"";"";""
"20-08-2015";"";"Amsterdam, Valeriusplein";"17:49";"Amstelveen, Kruiskerk";"1,58";"Check-uit";"";"";""
"23-08-2015";"";"Utrecht Centraal";"21:17";"Haag Centraal(Den)";"6,40";"Check-uit";"";"Dal Voordeel (2e klas)";""
"28-08-2015";"";"Haag Centraal(Den)";"16:41";"Amsterdam Zuid";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
"30-08-2015";"";"Amsterdam Zuid";"23:47";"Haag Centraal(Den)";"5,90";"Check-uit";"";"Dal Voordeel (2e klas)";""
